our_id,document_link,reviewer_1,reviewer_2,first_published
Betz_2020_next_wave,https://doi.org/10.1002/sam.11476,3,5,2020
Bhavya_2021_scaling_up,https://doi.org/10.1145/3430895.3460168,3,5,2021
Farahi_2018_michigan_data,https://doi.org/10.1109/DSW.2018.8439915,3,5,2018
Song_2016_big_data,https://doi.org/10.1111/exsy.12130,3,5,2015
Belloum_2019_bridging,https://doi.org/10.1002/cpe.5200,3,1,2019
Davis_2020_ethics,https://doi.org/10.18260/1-2--34589,3,1,2020
Demchenko_2021_edison_data,https://doi.org/10.1109/educon46332.2021.9453997,3,1,2021
Green_2019_livedatalab,https://doi.org/10.1145/3330430.3333665,1,3,2019
Rao_2019_data_science,https://doi.org/10.1109/ISECon.2019.8881970,3,1,2019
Sorensen_2018_evaluating_computational,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103846829&partnerID=40&md5=0ad9e8c92019d355ad332a73d555acf6,3,1,2018
Vance_2022_integrating,https://doi.org/10.52041/serj.v21i2.42,1,3,2022
Bhavya_2020_collective_development,https://doi.org/10.1145/3328778.3366961,2,3,2020
De_2022_toward_holistic,https://doi.org/10.52041/serj.v21i2.40,2,3,2022
Pieterman_2022_integration,https://doi.org/10.1007/s11191-022-00363-x,3,2,2022
Ryan_2016_the_data,https://doi.org/10.1016/b978-0-12-803844-4.00005-4,3,2,2016
Shao_2021_exploring_potential,https://doi.org/10.1016/j.acalib.2021.102320,2,3,2021
Sinha_2022_embodied_agents,https://doi.org/10.1007/978-3-031-11647-6_26,2,3,2022
Song_2017_big_data,https://doi.org/10.1515/jdis-2017-0011,3,2,2017
Rubel_2021_critical_mathematics,https://doi.org/10.1007/s10649-021-10087-4,2,3,2021
Burr_2021_computational_skills,https://doi.org/10.1111/test.12277,4,3,2021
Chung_2022_machine_learning,https://doi.org/10.1109/educon52537.2022.9766530,3,4,2022
Fisler_2022_datacentricity_rethinking,https://doi.org/10.1145/3531072.3535317,4,3,2022
Hagen_2020_teaching_undergraduate,https://doi.org/10.3233/efi-200372,3,4,2020
Li_2021_exploring_interdisciplinary,https://doi.org/10.1007/978-3-030-71292-1_43,4,3,2021
Liu_2020_how,https://doi.org/10.1109/csei50228.2020.9142534,4,3,2020
Manzella_2022_six,https://doi.org/10.1016/b978-0-12-823427-3.00005-0,3,4,2021
Robeva_2020_changing,https://doi.org/10.1007/s11538-020-00785-0,3,4,2020
Shapiro_2020_reshape,https://doi.org/10.1145/3313831.3376251,3,4,2020
